Date : 2024-12-13 22:24:45
Directory : c:\xampp\htdocs\ventas-proyecto-rick
Total : 784 files,  148401 codes, 17219 comments, 23016 blanks, all 188636 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\drag-and-drop\dragula\custom-dragula.js                          | JavaScript |        202 |         11 |         46 |        259 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\drag-and-drop\dragula\dragula.css                                | CSS        |         18 |         10 |          4 |         32 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\drag-and-drop\dragula\dragula.js                                 | JavaScript |        787 |         14 |        108 |        909 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\drag-and-drop\dragula\dragula.min.js                             | JavaScript |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\drag-and-drop\dragula\example.css                                | CSS        |        325 |         17 |         68 |        410 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\dropify\dropify.min.css                                          | CSS        |        398 |         18 |         12 |        428 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\dropify\dropify.min.js                                           | JavaScript |          1 |          8 |          1 |         10 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\dropify\fonts\dropify.svg                                        | XML        |         13 |          0 |          0 |         13 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\editors\markdown\custom-markdown.js                              | JavaScript |         12 |          2 |          1 |         15 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\editors\markdown\simplemde.min.css                               | CSS        |        498 |         16 |        130 |        644 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\editors\markdown\simplemde.min.js                                | JavaScript |          9 |          6 |          0 |         15 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\editors\quill\custom-quill.js                                    | JavaScript |         23 |          4 |          6 |         33 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\editors\quill\quill.bubble.css                                   | CSS        |        602 |         16 |          6 |        624 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\editors\quill\quill.js                                           | JavaScript |      9,050 |        647 |      1,792 |     11,489 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\editors\quill\quill.snow.css                                     | CSS        |        586 |         16 |          9 |        611 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\file-upload\file-upload-with-preview.min.css                     | CSS        |        106 |         10 |          9 |        125 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\file-upload\file-upload-with-preview.min.js                      | JavaScript |          1 |          0 |          1 |          2 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\flatpickr\custom-flatpickr.css                                   | CSS        |         65 |         10 |         11 |         86 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\flatpickr\custom-flatpickr.js                                    | JavaScript |         14 |          1 |          1 |         16 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\flatpickr\flatpickr.css                                          | CSS        |          7 |          6 |          0 |         13 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\flatpickr\flatpickr.dark.css                                     | CSS        |        767 |         24 |          1 |        792 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\flatpickr\flatpickr.js                                           | JavaScript |          1 |          1 |          0 |          2 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\font-icons\feather\activity.svg                                  | XML        |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\font-icons\feather\airplay.svg                                   | XML        |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\font-icons\feather\alert-circle.svg                              | XML        |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\font-icons\feather\alert-octagon.svg                             | XML        |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\font-icons\feather\alert-triangle.svg                            | XML        |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\font-icons\feather\align-center.svg                              | XML        |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\font-icons\feather\align-justify.svg                             | XML        |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\font-icons\feather\align-left.svg                                | XML        |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\font-icons\feather\align-right.svg                               | XML        |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\font-icons\feather\anchor.svg                                    | XML        |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\font-icons\feather\aperture.svg                                  | XML        |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\font-icons\feather\archive.svg                                   | XML        |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\font-icons\feather\arrow-down-circle.svg                         | XML        |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\font-icons\feather\arrow-down-left.svg                           | XML        |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\font-icons\feather\arrow-down-right.svg                          | XML        |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\font-icons\feather\arrow-down.svg                                | XML        |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\font-icons\feather\arrow-left-circle.svg                         | XML        |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\font-icons\feather\arrow-left.svg                                | XML        |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\font-icons\feather\arrow-right-circle.svg                        | XML        |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\font-icons\feather\arrow-right.svg                               | XML        |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\font-icons\feather\arrow-up-circle.svg                           | XML        |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\font-icons\feather\arrow-up-left.svg                             | XML        |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\font-icons\feather\arrow-up-right.svg                            | XML        |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\font-icons\feather\arrow-up.svg                                  | XML        |          1 |          0 |          0 |          1 |
