Date : 2024-12-13 22:24:45
Directory : c:\xampp\htdocs\ventas-proyecto-rick
Total : 784 files,  148401 codes, 17219 comments, 23016 blanks, all 188636 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\font-icons\feather\box.svg                                       | XML        |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\font-icons\feather\briefcase.svg                                 | XML        |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\font-icons\feather\calendar.svg                                  | XML        |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\font-icons\feather\camera-off.svg                                | XML        |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\font-icons\feather\camera.svg                                    | XML        |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\font-icons\feather\cast.svg                                      | XML        |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\font-icons\feather\check-circle.svg                              | XML        |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\font-icons\feather\check-square.svg                              | XML        |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\font-icons\feather\check.svg                                     | XML        |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\font-icons\feather\chevron-down.svg                              | XML        |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\font-icons\feather\chevron-left.svg                              | XML        |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\font-icons\feather\chevron-right.svg                             | XML        |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\font-icons\feather\chevron-up.svg                                | XML        |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\font-icons\feather\chevrons-down.svg                             | XML        |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\font-icons\feather\chevrons-left.svg                             | XML        |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\font-icons\feather\chevrons-right.svg                            | XML        |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\font-icons\feather\chevrons-up.svg                               | XML        |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\font-icons\feather\chrome.svg                                    | XML        |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\font-icons\feather\circle.svg                                    | XML        |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\font-icons\feather\clipboard.svg                                 | XML        |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\font-icons\feather\clock.svg                                     | XML        |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\font-icons\feather\cloud-drizzle.svg                             | XML        |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\font-icons\feather\cloud-lightning.svg                           | XML        |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\font-icons\feather\cloud-off.svg                                 | XML        |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\font-icons\feather\cloud-rain.svg                                | XML        |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\font-icons\feather\cloud-snow.svg                                | XML        |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\font-icons\feather\cloud.svg                                     | XML        |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\font-icons\feather\code.svg                                      | XML        |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\font-icons\feather\codepen.svg                                   | XML        |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\font-icons\feather\codesandbox.svg                               | XML        |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\font-icons\feather\coffee.svg                                    | XML        |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\font-icons\feather\columns.svg                                   | XML        |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\font-icons\feather\command.svg                                   | XML        |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\font-icons\feather\compass.svg                                   | XML        |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\font-icons\feather\copy.svg                                      | XML        |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\font-icons\feather\corner-down-left.svg                          | XML        |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\font-icons\feather\corner-down-right.svg                         | XML        |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\font-icons\feather\corner-left-down.svg                          | XML        |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\font-icons\feather\corner-left-up.svg                            | XML        |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\font-icons\feather\corner-right-down.svg                         | XML        |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\font-icons\feather\corner-right-up.svg                           | XML        |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\font-icons\feather\corner-up-left.svg                            | XML        |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\font-icons\feather\corner-up-right.svg                           | XML        |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\font-icons\feather\cpu.svg                                       | XML        |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\font-icons\feather\credit-card.svg                               | XML        |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\font-icons\feather\crop.svg                                      | XML        |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\font-icons\feather\crosshair.svg                                 | XML        |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\font-icons\feather\database.svg                                  | XML        |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\font-icons\feather\delete.svg                                    | XML        |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\font-icons\feather\disc.svg                                      | XML        |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\font-icons\feather\dollar-sign.svg                               | XML        |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\font-icons\feather\download-cloud.svg                            | XML        |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\font-icons\feather\download.svg                                  | XML        |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\font-icons\feather\droplet.svg                                   | XML        |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\font-icons\feather\edit-2.svg                                    | XML        |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\font-icons\feather\edit-3.svg                                    | XML        |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\font-icons\feather\edit.svg                                      | XML        |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\font-icons\feather\external-link.svg                             | XML        |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\font-icons\feather\eye-off.svg                                   | XML        |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\font-icons\feather\eye.svg                                       | XML        |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\font-icons\feather\facebook.svg                                  | XML        |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\font-icons\feather\fast-forward.svg                              | XML        |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\font-icons\feather\feather.min.js                                | JavaScript |          2 |         11 |          0 |         13 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\font-icons\feather\feather.svg                                   | XML        |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\font-icons\feather\figma.svg                                     | XML        |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\font-icons\feather\file-minus.svg                                | XML        |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\font-icons\feather\file-plus.svg                                 | XML        |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\font-icons\feather\file-text.svg                                 | XML        |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\font-icons\feather\file.svg                                      | XML        |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\font-icons\feather\film.svg                                      | XML        |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\font-icons\feather\filter.svg                                    | XML        |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\font-icons\feather\flag.svg                                      | XML        |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\font-icons\feather\folder-minus.svg                              | XML        |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\font-icons\feather\folder-plus.svg                               | XML        |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\font-icons\feather\folder.svg                                    | XML        |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\font-icons\feather\framer.svg                                    | XML        |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\font-icons\feather\frown.svg                                     | XML        |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\font-icons\feather\gift.svg                                      | XML        |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\font-icons\feather\git-branch.svg                                | XML        |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\font-icons\feather\git-commit.svg                                | XML        |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\font-icons\feather\git-merge.svg                                 | XML        |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\font-icons\feather\git-pull-request.svg                          | XML        |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\font-icons\feather\github.svg                                    | XML        |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\font-icons\feather\gitlab.svg                                    | XML        |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\font-icons\feather\globe.svg                                     | XML        |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\font-icons\feather\grid.svg                                      | XML        |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\font-icons\feather\hard-drive.svg                                | XML        |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\font-icons\feather\hash.svg                                      | XML        |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\font-icons\feather\headphones.svg                                | XML        |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\font-icons\feather\heart.svg                                     | XML        |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\font-icons\feather\help-circle.svg                               | XML        |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\font-icons\feather\hexagon.svg                                   | XML        |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\font-icons\feather\home.svg                                      | XML        |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\font-icons\feather\image.svg                                     | XML        |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\font-icons\feather\inbox.svg                                     | XML        |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\font-icons\feather\info.svg                                      | XML        |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\font-icons\feather\instagram.svg                                 | XML        |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\font-icons\feather\italic.svg                                    | XML        |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\font-icons\feather\key.svg                                       | XML        |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\font-icons\feather\layers.svg                                    | XML        |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\font-icons\feather\layout.svg                                    | XML        |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\font-icons\feather\life-buoy.svg                                 | XML        |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\font-icons\feather\link-2.svg                                    | XML        |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\font-icons\feather\link.svg                                      | XML        |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\font-icons\feather\linkedin.svg                                  | XML        |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\font-icons\feather\list.svg                                      | XML        |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\font-icons\feather\loader.svg                                    | XML        |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\font-icons\feather\lock.svg                                      | XML        |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\font-icons\feather\log-in.svg                                    | XML        |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\font-icons\feather\log-out.svg                                   | XML        |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\font-icons\feather\mail.svg                                      | XML        |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\font-icons\feather\map-pin.svg                                   | XML        |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\font-icons\feather\map.svg                                       | XML        |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\font-icons\feather\maximize-2.svg                                | XML        |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\font-icons\feather\maximize.svg                                  | XML        |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\font-icons\feather\meh.svg                                       | XML        |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\font-icons\feather\menu.svg                                      | XML        |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\font-icons\feather\message-circle.svg                            | XML        |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\font-icons\feather\message-square.svg                            | XML        |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\font-icons\feather\mic-off.svg                                   | XML        |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\font-icons\feather\mic.svg                                       | XML        |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\font-icons\feather\minimize-2.svg                                | XML        |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\font-icons\feather\minimize.svg                                  | XML        |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\font-icons\feather\minus-circle.svg                              | XML        |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\font-icons\feather\minus-square.svg                              | XML        |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\font-icons\feather\minus.svg                                     | XML        |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\font-icons\feather\monitor.svg                                   | XML        |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\font-icons\feather\moon.svg                                      | XML        |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\font-icons\feather\more-horizontal.svg                           | XML        |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\font-icons\feather\more-vertical.svg                             | XML        |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\font-icons\feather\mouse-pointer.svg                             | XML        |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\font-icons\feather\move.svg                                      | XML        |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\font-icons\feather\music.svg                                     | XML        |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\font-icons\feather\navigation-2.svg                              | XML        |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\font-icons\feather\navigation.svg                                | XML        |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\font-icons\feather\octagon.svg                                   | XML        |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\font-icons\feather\package.svg                                   | XML        |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\font-icons\feather\paperclip.svg                                 | XML        |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\font-icons\feather\pause-circle.svg                              | XML        |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\font-icons\feather\pause.svg                                     | XML        |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\font-icons\feather\pen-tool.svg                                  | XML        |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\font-icons\feather\percent.svg                                   | XML        |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\font-icons\feather\phone-call.svg                                | XML        |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\font-icons\feather\phone-forwarded.svg                           | XML        |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\font-icons\feather\phone-incoming.svg                            | XML        |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\font-icons\feather\phone-missed.svg                              | XML        |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\font-icons\feather\phone-off.svg                                 | XML        |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\font-icons\feather\phone-outgoing.svg                            | XML        |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\font-icons\feather\phone.svg                                     | XML        |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\font-icons\feather\pie-chart.svg                                 | XML        |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\font-icons\feather\play-circle.svg                               | XML        |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\font-icons\feather\play.svg                                      | XML        |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\font-icons\feather\plus-circle.svg                               | XML        |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\font-icons\feather\plus-square.svg                               | XML        |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\font-icons\feather\plus.svg                                      | XML        |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\font-icons\feather\pocket.svg                                    | XML        |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\font-icons\feather\power.svg                                     | XML        |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\font-icons\feather\printer.svg                                   | XML        |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\font-icons\feather\radio.svg                                     | XML        |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\font-icons\feather\refresh-ccw.svg                               | XML        |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\font-icons\feather\refresh-cw.svg                                | XML        |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\font-icons\feather\repeat.svg                                    | XML        |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\font-icons\feather\rewind.svg                                    | XML        |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\font-icons\feather\rotate-ccw.svg                                | XML        |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\font-icons\feather\rotate-cw.svg                                 | XML        |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\font-icons\feather\rss.svg                                       | XML        |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\font-icons\feather\save.svg                                      | XML        |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\font-icons\feather\scissors.svg                                  | XML        |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\font-icons\feather\search.svg                                    | XML        |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\font-icons\feather\send.svg                                      | XML        |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\font-icons\feather\server.svg                                    | XML        |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\font-icons\feather\settings.svg                                  | XML        |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\font-icons\feather\share-2.svg                                   | XML        |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\font-icons\feather\share.svg                                     | XML        |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\font-icons\feather\shield-off.svg                                | XML        |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\font-icons\feather\shield.svg                                    | XML        |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\font-icons\feather\shopping-bag.svg                              | XML        |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\font-icons\feather\shopping-cart.svg                             | XML        |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\font-icons\feather\shuffle.svg                                   | XML        |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\font-icons\feather\sidebar.svg                                   | XML        |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\font-icons\feather\skip-back.svg                                 | XML        |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\font-icons\feather\skip-forward.svg                              | XML        |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\font-icons\feather\slack.svg                                     | XML        |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\font-icons\feather\slash.svg                                     | XML        |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\font-icons\feather\sliders.svg                                   | XML        |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\font-icons\feather\smartphone.svg                                | XML        |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\font-icons\feather\smile.svg                                     | XML        |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\font-icons\feather\speaker.svg                                   | XML        |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\font-icons\feather\square.svg                                    | XML        |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\font-icons\feather\star.svg                                      | XML        |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\font-icons\feather\stop-circle.svg                               | XML        |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\font-icons\feather\sun.svg                                       | XML        |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\font-icons\feather\sunrise.svg                                   | XML        |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\font-icons\feather\sunset.svg                                    | XML        |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\font-icons\feather\tablet.svg                                    | XML        |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\font-icons\feather\tag.svg                                       | XML        |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\font-icons\feather\target.svg                                    | XML        |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\ventas-proyecto-rick\public\plugins\font-icons\feather\terminal.svg                                  | XML        |          1 |          0 |          0 |          1 |
