"filename", "language", "PHP", "Log", "HTML", "SCSS", "JavaScript", "Markdown", "XML", "CSS", "JSON", "YAML", "comment", "blank", "total"
"c:\xampp\htdocs\ventas-proyecto-rick\app\Models\Denomination.php", "PHP", 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 22
"c:\xampp\htdocs\ventas-proyecto-rick\app\Models\Product.php", "PHP", 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 31
"c:\xampp\htdocs\ventas-proyecto-rick\app\Models\Sale.php", "PHP", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 15
"c:\xampp\htdocs\ventas-proyecto-rick\app\Models\SaleDetails.php", "PHP", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 14
"c:\xampp\htdocs\ventas-proyecto-rick\app\Models\User.php", "PHP", 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 7, 44
"c:\xampp\htdocs\ventas-proyecto-rick\app\Providers\AppServiceProvider.php", "PHP", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 5, 29
"c:\xampp\htdocs\ventas-proyecto-rick\app\Providers\AuthServiceProvider.php", "PHP", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 6, 31
"c:\xampp\htdocs\ventas-proyecto-rick\app\Providers\BroadcastServiceProvider.php", "PHP", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 5, 22
"c:\xampp\htdocs\ventas-proyecto-rick\app\Providers\EventServiceProvider.php", "PHP", 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 5, 33
"c:\xampp\htdocs\ventas-proyecto-rick\app\Providers\RouteServiceProvider.php", "PHP", 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 9, 64
"c:\xampp\htdocs\ventas-proyecto-rick\bootstrap\app.php", "PHP", 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 9, 56
